id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,fingerprint_hash,recruiter_id,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
26,2020-10-29 18:43:33.081123,,,,,,f,,{},participant,43a0093be2dca2ffca2262c65155daa0,mturk,26,3B2X28YI3YMZ2EO6AY2TXS0MER0B6I,26:3B2X28YI3YMZ2EO6AY2TXS0MER0B6I,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:10:00.706671,3,0.4,approved
27,2020-10-29 18:43:36.066112,,,,,,f,,{},participant,19b2d0da2196f12ca1f37302ba06aca3,mturk,27,3CP1TO84PV89VXOWMMZD4TJIOQC25R,27:3CP1TO84PV89VXOWMMZD4TJIOQC25R,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 18:49:05.862509,3,,bad_data
198,2020-10-29 19:04:45.922117,,,,,,f,,{},participant,09fa038ff0df5aa737207890103905b2,mturk,198,3I3WADAZ9SBN24D19KXAB6MLPV8O5J,198:3I3WADAZ9SBN24D19KXAB6MLPV8O5J,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:10:18.955189,,,returned
3,2020-10-29 18:42:57.546556,,,,,,f,,{},participant,d244981c6176593660c4100d2db911d0,mturk,3,34X6J5FLPV5YUF52DZT81L0QMXLJQ8,3:34X6J5FLPV5YUF52DZT81L0QMXLJQ8,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:07:58.21015,3,0.6,approved
7,2020-10-29 18:43:02.16519,,,,,,f,,{},participant,55702c3441b618652a6dbb979ed4cb59,mturk,7,3WJ1OXY92CNHNI22XZZVMVC7245A88,7:3WJ1OXY92CNHNI22XZZVMVC7245A88,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:08:37.364933,3,0,approved
31,2020-10-29 18:43:55.733969,,,,,,f,,{},participant,f9e68b944779237c42d600ed1544d285,mturk,31,3W92K5RLWWOISOMYAWJO6YGTLO5V5S,31:3W92K5RLWWOISOMYAWJO6YGTLO5V5S,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 18:52:01.180905,3,,bad_data
17,2020-10-29 18:43:18.135236,,,,,,f,,{},participant,ffc733a70db0b61e0d8b74ee7e2dca92,mturk,17,3KYQYYSHYXEI6HSUOQFT9IAD2C6ODR,17:3KYQYYSHYXEI6HSUOQFT9IAD2C6ODR,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 18:54:46.109394,3,,bad_data
8,2020-10-29 18:43:02.247116,,,,,,f,,{},participant,292b3721d6fad18df17fc57fb9746a94,mturk,8,3QJOXOW4XLYZYKLI75B0NW3T7OSME3,8:3QJOXOW4XLYZYKLI75B0NW3T7OSME3,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:10:10.767199,3,0.6,approved
19,2020-10-29 18:43:20.668538,,,,,,f,,{},participant,9c312ef5fc991a6f06755923e1fdf894,mturk,19,358010RM5G0RU768G22JYH7DENFXV4,19:358010RM5G0RU768G22JYH7DENFXV4,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 18:58:22.463193,3,,bad_data
54,2020-10-29 18:46:50.860575,,,,,,f,,{},participant,03975a4b41179c7fdb2a2d66b7fdb2e6,mturk,54,38F71OA9GV3R4YLE2GV65EOTJP7MFL,54:38F71OA9GV3R4YLE2GV65EOTJP7MFL,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:10:11.633945,3,0,approved
