id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,assignment_id,event_type
48,2020-10-29 18:42:35.603641,,,,,,f,,{},3RJSC4XJ1212ZNLI7ZVZL5Q3RSS50A,AssignmentAccepted
49,2020-10-29 18:42:35.621461,,,,,,f,,{},39ASUFLU6ZEASWKMLCD9YDJRESCEXF,AssignmentAccepted
50,2020-10-29 18:42:35.665671,,,,,,f,,{},3BWI6RSP7IGGDHEV3Z9B4E63CZX7ED,AssignmentAccepted
51,2020-10-29 18:42:35.666089,,,,,,f,,{},3KMS4QQVK4XWEALBH4IQQ1WPUKCFK9,AssignmentAccepted
52,2020-10-29 18:42:35.690685,,,,,,f,,{},3Q5C1WP23O826C603IZZZA9DWKY51D,AssignmentAccepted
53,2020-10-29 18:42:35.697394,,,,,,f,,{},3U5JL4WY5MGS0UNTW61WPR7013I4XZ,AssignmentAccepted
54,2020-10-29 18:42:35.717261,,,,,,f,,{},3CP1TO84PV89VXOWMMZD4TJIOQC25R,AssignmentAccepted
55,2020-10-29 18:42:35.810646,,,,,,f,,{},3PB5A5BD0XDEXVAM9UZZ4HRFPFC7GU,AssignmentAccepted
56,2020-10-29 18:42:35.836293,,,,,,f,,{},3LBXNTKX0T2TX0T5D1XN6ZIGNVW9X0,AssignmentAccepted
57,2020-10-29 18:42:35.859783,,,,,,f,,{},3EICBYG6463U0EVJ8HSDHGB9IIKCJW,AssignmentAccepted
58,2020-10-29 18:42:35.885974,,,,,,f,,{},3N2BF7Y2VS1BIUCKX6J68Z06Z4KMHJ,AssignmentAccepted
59,2020-10-29 18:42:35.897895,,,,,,f,,{},36DSNE9QZ75V93SMYM14CG5Q7W3JO0,AssignmentAccepted
60,2020-10-29 18:42:35.912281,,,,,,f,,{},3QL2OFSM98PQJ4M4NFK5ANSQR2PCN0,AssignmentAccepted
61,2020-10-29 18:42:35.966587,,,,,,f,,{},3PH3VY7DJN4TER6S7UV0H462TWEWZ9,AssignmentAccepted
62,2020-10-29 18:42:35.996053,,,,,,f,,{},3HL8HNGX478CXE2KD7R10SI9JQ0F9F,AssignmentAccepted
63,2020-10-29 18:42:36.009212,,,,,,f,,{},3FTF2T8WLTPE80OF3W114G49ETQ9W7,AssignmentAccepted
64,2020-10-29 18:42:36.029381,,,,,,f,,{},30LSNF239W2L7LJBT6I7T2NNTCI2I1,AssignmentAccepted
65,2020-10-29 18:42:36.043771,,,,,,f,,{},3L6L49WXW24JYB3JQ0I1X8GG84854Q,AssignmentAccepted
66,2020-10-29 18:42:36.081657,,,,,,f,,{},3N2BF7Y2VS1BIUCKX6J68Z06Z4KHME,AssignmentAccepted
67,2020-10-29 18:42:36.087249,,,,,,f,,{},3Q5ZZ9ZEVQMKHCQL238EEKWLAQ458X,AssignmentAccepted
68,2020-10-29 18:42:36.105683,,,,,,f,,{},3TOK3KHVJVP2P8RKXDC79Q0HG137OH,AssignmentAccepted
69,2020-10-29 18:42:36.119683,,,,,,f,,{},3CN4LGXD5ZVH0ZD312NY85E939C4Y5,AssignmentAccepted
