id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,origin_id,destination_id,network_id
2924,2020-10-29 19:23:36.222559,,,,,,t,2020-10-29 19:33:46.758276,{},333,334,26
2939,2020-10-29 19:23:38.969417,,,,,,t,2020-10-29 19:33:46.761558,{},335,333,26
2925,2020-10-29 19:23:36.251103,,,,,,t,2020-10-29 19:35:55.311167,{},334,325,26
2926,2020-10-29 19:23:36.262876,,,,,,t,2020-10-29 19:35:55.315323,{},325,334,26
2941,2020-10-29 19:23:38.981213,,,,,,t,2020-10-29 19:35:55.320412,{},335,325,26
2942,2020-10-29 19:23:38.987091,,,,,,t,2020-10-29 19:35:55.326168,{},325,335,26
2921,2020-10-29 19:23:36.174431,,,,,,t,2020-10-29 19:49:31.816985,{},51,334,26
2922,2020-10-29 19:23:36.187478,,,,,,t,2020-10-29 19:49:31.821924,{},52,334,26
2927,2020-10-29 19:23:36.273444,,,,,,t,2020-10-29 19:49:31.853956,{},334,326,26
2928,2020-10-29 19:23:36.289771,,,,,,t,2020-10-29 19:49:31.911558,{},326,334,26
2929,2020-10-29 19:23:36.301189,,,,,,t,2020-10-29 19:49:31.914865,{},334,330,26
2930,2020-10-29 19:23:36.310578,,,,,,t,2020-10-29 19:49:31.918042,{},330,334,26
2933,2020-10-29 19:23:36.340709,,,,,,t,2020-10-29 19:49:31.921241,{},334,328,26
2934,2020-10-29 19:23:36.349846,,,,,,t,2020-10-29 19:49:31.924555,{},328,334,26
2953,2020-10-29 19:23:39.054903,,,,,,t,2020-10-29 19:49:31.927896,{},335,334,26
2954,2020-10-29 19:23:39.060586,,,,,,t,2020-10-29 19:49:31.931075,{},334,335,26
2937,2020-10-29 19:23:38.95467,,,,,,f,,{},51,335,26
2938,2020-10-29 19:23:38.96323,,,,,,f,,{},52,335,26
2943,2020-10-29 19:23:38.99288,,,,,,f,,{},335,326,26
2944,2020-10-29 19:23:38.998538,,,,,,f,,{},326,335,26
2945,2020-10-29 19:23:39.004233,,,,,,f,,{},335,330,26
2946,2020-10-29 19:23:39.010044,,,,,,f,,{},330,335,26
2949,2020-10-29 19:23:39.027073,,,,,,f,,{},335,328,26
2950,2020-10-29 19:23:39.032914,,,,,,f,,{},328,335,26
2889,2020-10-29 19:23:02.142002,,,,,,t,2020-10-29 19:24:45.585967,{},332,331,24
2890,2020-10-29 19:23:02.14949,,,,,,t,2020-10-29 19:24:45.591137,{},331,332,24
2891,2020-10-29 19:23:02.156344,,,,,,t,2020-10-29 19:24:45.59609,{},332,313,24
2892,2020-10-29 19:23:02.166054,,,,,,t,2020-10-29 19:24:45.600708,{},313,332,24
2883,2020-10-29 19:23:00.624721,,,,,,t,2020-10-29 19:24:48.364726,{},331,318,24
2884,2020-10-29 19:23:00.633787,,,,,,t,2020-10-29 19:24:48.372339,{},318,331,24
2955,2020-10-29 19:23:43.685836,,,,,,t,2020-10-29 19:24:57.472604,{},336,313,24
2956,2020-10-29 19:23:43.69577,,,,,,t,2020-10-29 19:24:57.478602,{},313,336,24
2957,2020-10-29 19:23:43.705386,,,,,,t,2020-10-29 19:24:57.483686,{},47,336,24
2958,2020-10-29 19:23:43.71416,,,,,,t,2020-10-29 19:24:57.489356,{},48,336,24
2961,2020-10-29 19:23:43.745119,,,,,,t,2020-10-29 19:24:57.501398,{},336,316,24
2887,2020-10-29 19:23:00.660365,,,,,,t,2020-10-29 19:25:39.257719,{},331,321,24
2888,2020-10-29 19:23:00.669234,,,,,,t,2020-10-29 19:25:39.263158,{},321,331,24
2915,2020-10-29 19:23:04.926351,,,,,,t,2020-10-29 19:26:49.776736,{},333,327,26
2916,2020-10-29 19:23:04.941746,,,,,,t,2020-10-29 19:26:49.781526,{},327,333,26
2931,2020-10-29 19:23:36.319246,,,,,,t,2020-10-29 19:26:49.786185,{},334,327,26
2932,2020-10-29 19:23:36.330672,,,,,,t,2020-10-29 19:26:49.790796,{},327,334,26
2947,2020-10-29 19:23:39.015717,,,,,,t,2020-10-29 19:26:49.795796,{},335,327,26
2948,2020-10-29 19:23:39.021393,,,,,,t,2020-10-29 19:26:49.800376,{},327,335,26
2965,2020-10-29 19:23:43.789083,,,,,,t,2020-10-29 19:24:48.379137,{},336,318,24
2966,2020-10-29 19:23:43.798371,,,,,,t,2020-10-29 19:24:48.38658,{},318,336,24
2962,2020-10-29 19:23:43.759575,,,,,,t,2020-10-29 19:24:57.508822,{},316,336,24
2963,2020-10-29 19:23:43.771592,,,,,,t,2020-10-29 19:24:57.516595,{},336,324,24
2964,2020-10-29 19:23:43.780048,,,,,,t,2020-10-29 19:24:57.52596,{},324,336,24
2967,2020-10-29 19:23:43.808491,,,,,,t,2020-10-29 19:24:57.535432,{},336,323,24
2968,2020-10-29 19:23:43.819047,,,,,,t,2020-10-29 19:24:57.542031,{},323,336,24
2969,2020-10-29 19:23:43.826039,,,,,,t,2020-10-29 19:24:57.549281,{},336,320,24
2970,2020-10-29 19:23:43.83327,,,,,,t,2020-10-29 19:24:57.555724,{},320,336,24
2971,2020-10-29 19:23:43.840351,,,,,,t,2020-10-29 19:24:57.562089,{},336,321,24
2972,2020-10-29 19:23:43.847281,,,,,,t,2020-10-29 19:24:57.567694,{},321,336,24
2973,2020-10-29 19:23:43.853677,,,,,,t,2020-10-29 19:24:57.573865,{},336,331,24
2974,2020-10-29 19:23:43.861025,,,,,,t,2020-10-29 19:24:57.579062,{},331,336,24
2975,2020-10-29 19:23:54.226427,,,,,,f,,{},51,337,26
2976,2020-10-29 19:23:54.236779,,,,,,f,,{},52,337,26
2977,2020-10-29 19:23:54.24685,,,,,,f,,{},337,335,26
